layer,project,repo,status,code_lines,comment_lines,blank_lines,files,cocomo_cost_musd,languages
data_pipelines,minio,minio/minio,selected,253418,40704,35022,1042,0,"Go;Markdown;YAML;Shell;JSON;Plain Text;Python;SVG;License;Smarty Template;Docker ignore;Dockerfile;JavaScript;Makefile;TOML"
data_pipelines,kafka,apache/kafka,selected,1199497,265795,219149,7021,0,"Java;JSON;Scala;Python;Markdown;YAML;Shell;Properties File;Batch;XML;BASH;CloudFormation (YAML);Plain Text;Dockerfile;Gradle;HTML;SVG;Autoconf;Extensible Stylesheet Language Transformations;License"
data_pipelines,airflow,apache/airflow,selected,1466016,264812,222775,11143,0,"Python;ReStructuredText;TypeScript;JSON;YAML;Plain Text;SVG;TOML;Markdown;License;Shell;JavaScript;Go;Jinja;Dockerfile;HTML;CSS;SQL;XML;TypeScript Typings;Systemd;BASH;CSV;JSONL;INI;Jupyter;Mako;Terraform;CloudFormation (YAML);Properties File;Docker ignore;Java;Protocol Buffers"
data_pipelines,spark,apache/spark,selected,2127481,462507,323426,12120,0,"Scala;Python;Java;Plain Text;JSON;SQL;Markdown;XML;YAML;R;ReStructuredText;Shell;BASH;CSV;JavaScript;Properties File;Protocol Buffers;Dockerfile;CSS;Batch;HTML;Jupyter;XML Schema;Avro;Ruby;Go Template;INI;License;Makefile;SVG;Autoconf;C;Gemfile;Powershell;ReScript;TOML;Thrift"
data_pipelines,label-studio,HumanSignal/label-studio,selected,529358,30453,67668,4201,0,"TypeScript;Python;Markdown;JavaScript;SVG;JSX;JSON;CSS;YAML;XML;HTML;Shell;TypeScript Typings;CSV;Plain Text;TOML;License;INI;Autoconf;Docker ignore;Dockerfile;Makefile"
data_pipelines,great_expectations,great-expectations/great_expectations,selected,1184519,32866,51559,3368,0,"Python;Markdown;JSON;MDX;CSV;SVG;YAML;JavaScript;Plain Text;Jinja;CSS;Sass;JSX;Shell;License;Jupyter;TOML;Autoconf;BASH;Dockerfile"
data_pipelines,dvc,iterative/dvc,selected,71413,3610,15269,578,0,"Python;YAML;Markdown;ReStructuredText;JSON;License;Plain Text;Shell;TOML"
data_pipelines,sentence-transformers,UKPLab/sentence-transformers,selected,74362,10473,12725,535,0,"Python;Markdown;ReStructuredText;Jupyter;YAML;HTML;Makefile;Plain Text;SVG;Autoconf;CSS;JavaScript;License;TOML"
data_pipelines,milvus,milvus-io/milvus,selected,1174532,135056,161837,4722,0,"Go;C++;C Header;YAML;Python;Markdown;Shell;Rust;CMake;JSON;Dockerfile;Groovy;Plain Text;Protocol Buffers;Autoconf;C++ Header;Batch;INI;License;Systemd;HTML;Makefile;TOML;BASH;Docker ignore;C;CSS;CloudFormation (YAML);JavaScript;SQL;SVG;XML"
training,pipelines,kubeflow/pipelines,selected,1852613,59440,68471,3667,0,"Python;YAML;TypeScript;Go;Markdown;CloudFormation (YAML);Shell;JSON;ReStructuredText;Plain Text;Protocol Buffers;JavaScript;Dockerfile;Makefile;License;Jupyter;Smarty Template;Autoconf;INI;SVG;CSS;TypeScript Typings;CSV;BASH;Docker ignore;Batch;Mustache;SQL;TOML;HTML;Powershell;XML"
training,slurm,SchedMD/slurm,selected,931255,140159,124571,2395,0,"C;Python;C Header;Autoconf;m4;Raku;Perl;Plain Text;Markdown;HTML;Shell;Lua;BASH;CSS;JSON;License;Cuda;INI;JavaScript;Vim Script;YAML"
training,nvidia-container-toolkit,NVIDIA/nvidia-container-toolkit,selected,347317,90252,54598,2398,0,"Go;Markdown;Assembly;License;Shell;YAML;Makefile;TOML;CSV;Dockerfile;Plain Text;BASH;JSON;C;C Header;Go Template;Docker ignore;JavaScript;Protocol Buffers;Systemd;Powershell;Zsh"
training,cuda-python,NVIDIA/cuda-python,selected,255441,8283,55785,625,0,"Python;ReStructuredText;Cython;YAML;Autoconf;Markdown;Shell;TOML;JSON;BASH;C Header;HTML;License;Makefile;C++ Header;INI;Powershell;Batch;C++;Plain Text;SVG"
training,nccl,NVIDIA/nccl,selected,119237,26348,20984,613,0,"C Header;C++;Makefile;Markdown;CMake;Python;Autoconf;C++ Header;Cuda;Cython;C;Plain Text;YAML;TOML;CSV;ReStructuredText"
training,pytorch,pytorch/pytorch,selected,3241577,390622,448274,11351,0,"Python;C Header;C++;Markdown;Cuda;Plain Text;C;YAML;Shell;CMake;Objective C++;GLSL;CSV;ReStructuredText;Bazel;C++ Header;Batch;Assembly;Metal;JSON;Jinja;Autoconf;Java;Dockerfile;Jupyter;Patch;Makefile;Gradle;Powershell;TOML;License;JavaScript;Properties File;INI;XML;CSS;BASH;SVG;Systemd;HTML;Smarty Template;Thrift;Vim Script"
training,DeepSpeed,microsoft/DeepSpeed,selected,232327,26116,42218,1552,0,"Python;Markdown;C Header;C++;Cuda;YAML;HTML;JSON;ReStructuredText;Shell;Plain Text;SVG;Sass;Batch;Autoconf;Dockerfile;License;Makefile;BASH;C++ Header;Gemfile;INI"
training,Megatron-LM,NVIDIA/Megatron-LM,selected,799360,40957,34671,2310,0,"Python;JSON;YAML;Shell;Markdown;Dockerfile;Plain Text;TOML;Autoconf;C++;Cuda;JSONL;License;Makefile;Patch"
training,tokenizers,huggingface/tokenizers,selected,49435,7003,6677,321,0,"Rust;Python;Markdown;YAML;MDX;JSON;TypeScript;TOML;JavaScript;ReStructuredText;License;Makefile;CSS;Plain Text;Autoconf;Batch;HTML;INI;Jupyter;Shell;Smarty Template;TypeScript Typings"
training,datasets,huggingface/datasets,selected,79446,6113,10666,319,0,"Python;MDX;YAML;JSON;Markdown;License;Makefile;Shell;TOML"
training,peft,huggingface/peft,selected,263971,15538,15365,708,0,"Python;Markdown;JSON;Jupyter;YAML;Plain Text;Shell;Dockerfile;Makefile;BASH;C++;Cuda;License;TOML"
training,trl,huggingface/trl,selected,90191,11511,12051,395,0,"Python;Markdown;YAML;Jupyter;Dockerfile;Jinja;Autoconf;License;Makefile;Plain Text;Shell;TOML"
training,lm-evaluation-harness,EleutherAI/lm-evaluation-harness,selected,233505,14880,22157,14799,0,"YAML;Python;JSON;Markdown;Shell;Plain Text;Jupyter;CSV;Autoconf;C++;TOML"
training,mergekit,arcee-ai/mergekit,selected,20005,927,2640,177,0,"Python;JSON;Markdown;YAML;Jinja;Jupyter;License;TOML"
training,mlflow,mlflow/mlflow,selected,1173870,88580,151298,5747,0,"Python;TypeScript;MDX;YAML;SVG;Markdown;JavaScript;ReStructuredText;R;CSS;JSON;Java;Jupyter;Shell;Protocol Buffers;Patch;Plain Text;HTML;CSV;Scala;TypeScript Typings;SQL;TOML;Dockerfile;INI;Docker ignore;XML;Mako;Autoconf;Batch;JSONC;Jinja;Makefile;Properties File"
training,huggingface_hub,huggingface/huggingface_hub,selected,102722,11424,17744,461,0,"Python;Markdown;YAML;Autoconf;License;Makefile;Powershell;Shell;TOML"
training,transformers,huggingface/transformers,selected,1157037,165358,197069,5258,0,"Python;Markdown;YAML;Plain Text;JSON;Dockerfile;Shell;CSV;TOML;CloudFormation (YAML);Jsonnet;License;Makefile"
integration_serving,onnx,onnx/onnx,selected,240211,12767,41696,890,0,"Python;C Header;Markdown;C++;YAML;Plain Text;JSON;Protocol Buffers;CMake;Jupyter;TOML;Autoconf;Batch;CSS;SVG;Shell;JSON5;JavaScript;License;Makefile"
integration_serving,llm-awq,mit-han-lab/llm-awq,selected,21748,2351,3087,131,0,"Python;C Header;Shell;Cuda;Markdown;C++;Jupyter;C++ Header;License;TOML"
integration_serving,vllm,vllm-project/vllm,selected,904487,104147,118642,4261,0,"Python;JSON;Markdown;YAML;Shell;Cuda;Jinja;Plain Text;C++ Header;C Header;C++;CMake;JavaScript;Autoconf;CSS;HTML;SVG;TOML;Docker ignore;Dockerfile;HCL;JSONL;License;Patch;Smarty Template"
integration_serving,TensorRT-LLM,NVIDIA/TensorRT-LLM,selected,1332666,172580,184656,9771,0,"C++;Python;YAML;C Header;Cuda;Markdown;CMake;Plain Text;Shell;TOML;C++ Header;JSON;CSV;Groovy;Makefile;INI;Smarty Template;BASH;HTML;JSONL;Jupyter;License;CSS;JavaScript;Jinja;ReStructuredText;Autoconf;Batch;C;Docker ignore;Module-Definition;Patch;Properties File"
integration_serving,server,triton-inference-server/server,selected,153797,29891,23618,862,0,"Python;Shell;Markdown;YAML;JSON;C++;C Header;Plain Text;ReStructuredText;CMake;Autoconf;Smarty Template;BASH;Java;SVG;Makefile;CSS;Docker ignore;Dockerfile;HTML;JavaScript;License;TOML"
integration_serving,onnxruntime,microsoft/onnxruntime,selected,4041209,222575,253974,8388,0,"C++;C Header;Python;TypeScript;Cuda;YAML;Assembly;Markdown;JSON;C#;JSONC;CMake;JavaScript;Plain Text;Shell;Java;Patch;MSBuild;XML;Objective C++;Rust;Module-Definition;C;LD Script;Batch;XAML;Gradle;ReStructuredText;C++ Header;Dockerfile;Jupyter;Powershell;Objective C;Autoconf;SVG;Windows Resource-Definition Script;Go Template;Properties File;TOML;IDL;Puppet;CSS;Kotlin;TypeScript Typings;HTML;License;CSV;Docker ignore;Prolog;Treetop;Vue;CloudFormation (YAML);DOT;INI;Jinja;Protocol Buffers;Swift"
integration_serving,ray,ray-project/ray,selected,1402163,205209,212849,8912,0,"Python;YAML;C++;C Header;ReStructuredText;Java;JSON;Markdown;Plain Text;Shell;TypeScript;SVG;Bazel;Jupyter;Protocol Buffers;Dockerfile;Cython;Patch;Autoconf;CSS;HTML;JavaScript;Jinja;XML;C;TypeScript Typings;CSV;TOML;BASH;License;Powershell;CloudFormation (YAML);LD Script;INI;Batch;Makefile;SQL"
integration_serving,envoy,envoyproxy/envoy,selected,1423263,224983,272237,9788,0,"C++;C Header;Protocol Buffers;YAML;ReStructuredText;Java;Markdown;Bazel;Kotlin;Python;Swift;Shell;C;Go;Rust;JSON;SVG;Patch;Plain Text;XML;Jinja;Objective C;HTML;Smarty Template;Objective C++;BASH;JavaScript;TOML;jq;Autoconf;License;CSS;CloudFormation (YAML);DOT;Batch;Docker ignore;Dockerfile;Emacs Lisp;INI;Makefile;Thrift"
integration_serving,langchain,langchain-ai/langchain,selected,272703,36150,38742,2681,0,"Python;JSON;YAML;Markdown;TOML;Makefile;Shell;License;Plain Text;CSV;Extensible Stylesheet Language Transformations;Docker ignore;HTML;JavaScript;SVG;XML;Dockerfile;Org;ReStructuredText"
integration_serving,promptflow,microsoft/promptflow,selected,2689858,52644,38541,3245,0,"Python;YAML;Markdown;JSONL;Jinja;JSON;Plain Text;Jupyter;CSV;Shell;TOML;BASH;HTML;Dockerfile;SVG;Autoconf;JavaScript;Batch;Powershell;CSS;INI;License;Makefile;Rich Text Format;XML"
integration_serving,guardrails,guardrails-ai/guardrails,selected,72157,3492,7249,525,0,"Python;Plain Text;Jupyter;Markdown;YAML;JSON;Shell;SVG;SQL;Docker ignore;Dockerfile;License;Makefile;TOML;XML"
cross_cutting,kubernetes,kubernetes/kubernetes,selected,4165826,556226,375530,21702,0,"Go;YAML;JSON;Markdown;License;Shell;CloudFormation (YAML);Protocol Buffers;Makefile;Assembly;Dockerfile;Plain Text;Bazel;Autoconf;BASH;Go Template;Python;C;Powershell;sed;SVG;DOT;JSONL;TOML;CSV;HTML"
cross_cutting,containerd,containerd/containerd,selected,753249,185922,124787,5643,0,"Go;Markdown;License;YAML;Protocol Buffers;Assembly;Shell;Makefile;TOML;Plain Text;BASH;Dockerfile;JSON;C;C Header;Go Template;Powershell;Bazel;Docker ignore;ABNF;CloudFormation (YAML);Nix;SVG;Systemd;jq"
cross_cutting,terraform,hashicorp/terraform,selected,553421,66180,72355,4547,0,"Go;Terraform;HCL;JSON;Markdown;YAML;Shell;Protocol Buffers;Plain Text;Go Template;License;XML;BASH;Dockerfile;Makefile"
cross_cutting,argo-cd,argoproj/argo-cd,selected,537173,18871,66274,4503,0,"YAML;Go;Markdown;Lua;TypeScript;JSON;Sass;Shell;SVG;HTML;Plain Text;Jsonnet;CloudFormation (YAML);Protocol Buffers;BASH;JSON5;JavaScript;Dockerfile;Docker ignore;License;Makefile;Smarty Template;CSS;CSV;TOML;Properties File;TypeScript Typings"
cross_cutting,argo-workflows,argoproj/argo-workflows,selected,268065,10526,35982,2604,0,"Go;YAML;Markdown;TypeScript;Sass;Shell;JSON;Protocol Buffers;Nix;Dockerfile;JavaScript;Plain Text;HTML;Makefile;SVG;XML;BASH;CloudFormation (YAML);Docker ignore;Java;License;TypeScript Typings"
cross_cutting,prometheus,prometheus/prometheus,selected,353597,32858,40344,1155,0,"Go;TypeScript;Markdown;JSON;CSS;JavaScript;Shell;Jsonnet;Plain Text;Sass;Makefile;Protocol Buffers;SVG;HTML;TypeScript Typings;Dockerfile;LEX;XML;YAML;Docker ignore;Go Template;Happy;License;Snakemake"
cross_cutting,grafana,grafana/grafana,selected,3488015,142824,353218,19553,0,"TypeScript;Go;SVG;JSON;Markdown;SQL;YAML;JavaScript;Plain Text;MDX;Shell;Makefile;CSV;Dockerfile;TypeScript Typings;HTML;BASH;INI;Protocol Buffers;Go Template;HCL;Sass;TOML;Jsonnet;Patch;XML;CSS;License;Handlebars;CloudFormation (YAML);Mustache;Rich Text Format;Systemd;Assembly;Docker ignore;JSON5;Jinja;Powershell;Ruby;Smarty Template;Windows Resource-Definition Script"
cross_cutting,opentelemetry-collector,open-telemetry/opentelemetry-collector,selected,146322,11834,24891,1762,0,"Go;YAML;Markdown;Makefile;Shell;Go Template;HTML;JSON;Plain Text;License;Protocol Buffers;Powershell;TOML"
cross_cutting,loki,grafana/loki,selected,7554716,1227223,587465,14734,0,"Go;Markdown;YAML;License;XML;Assembly;JSON;Makefile;Jsonnet;Plain Text;Shell;Protocol Buffers;Smarty Template;Go Template;Dockerfile;TOML;C Header;SQL;BASH;Happy;Nix;Bazel;Ruby;C;JavaScript;Terraform;HCL;Python;Docker ignore;Gemfile;JSON5;CSS;HTML;INI;LEX;Powershell;Rakefile;SVG;Sass;Bicep;C++;CSV;CloudFormation (YAML);Perl;ReStructuredText;Systemd"
cross_cutting,linux,torvalds/linux,selected,31568926,4687460,5149172,87131,0,"C;C Header;Device Tree;YAML;ReStructuredText;Makefile;Assembly;Shell;Plain Text;JSON;Python;Rust;Jinja;SVG;Perl;BASH;DOT;XML;AWK;CSV;Extensible Stylesheet Language Transformations;Happy;LEX;LD Script;C++;Autoconf;Markdown;License;Snakemake;Unreal Script;CSS;Raku;Systemd;TOML;Alex;Bazel;C++ Header;HEX;HTML;INI;Module-Definition;bait;sed;CloudFormation (YAML);Gherkin Specification;MATLAB;Ruby;Scallop;TeX;Vim Script;XML Schema"
cross_cutting,open-gpu-kernel-modules,NVIDIA/open-gpu-kernel-modules,selected,1633154,342566,232594,3736,0,"C Header;C;C++;Makefile;Markdown;C++ Header;Plain Text;YAML;Shell;License;Python"
